Plant Name, Maturity,Estimated Maturity Date
Blue Lake Pole Bean,75,6/15/2024
Kentucky Wonder Bean,60,5/31/2024
Long Island Cheese Pumpkin,110,7/20/2024
Howden Pumpkin,115,7/25/2024
Long Pie Pumpkin,100,7/10/2024
Garden Sweet Burpless Cucumber,55,5/26/2024
Boston Pickling Cucumber,65,6/5/2024
Bush King Acorn Squash,80,6/20/2024
Trombone Climbing Summer Squash,58,5/29/2024
Golden Zucchini,65,6/5/2024
Waltham Butternut Squash,90,6/30/2024
Black Beauty Zucchini,55,5/26/2024
Honeynut Squash,110,7/20/2024
Mammoth Long Island Dill,65,6/5/2024
Bronze Leaf Fennel,60,5/31/2024
Rosemary,90,6/30/2024
Lemon Mint,80,6/20/2024
Tarragon,60,5/31/2024
Slow Bolt Cilantro,60,5/31/2024
Lime Basil,70,6/10/2024
Lemon Basil,90,6/30/2024
Siam Queen Basil,90,6/30/2024
Cinnamon Basil,65,6/5/2024
Licorice Basil,80,6/20/2024
Thai Basil,65,6/5/2024
Italian Large Leaf Basil,80,6/20/2024
Holy Basil,65,6/5/2024
Dark Opal Basil,65,6/5/2024
Blue Spice Basil,90,6/30/2024
Lemon Drop Pepper,100,7/10/2024
Jalapeno,75,6/15/2024
Shishito Pepper,75,6/15/2024
Purple Beauty Bell,75,6/15/2024
Tabasco Pepper,80,6/20/2024
Lilac Bell,75,6/15/2024
Serrano Pepper,75,6/15/2024
Big Jim Pepper,80,6/20/2024
Chocolate Bell,70,6/10/2024
Cherokee Purple Tomato,80,6/20/2024
Blush Tomato,75,6/15/2024
Dr. Wyche's Yellow Tomato,80,6/20/2024
Pineapple Tomato,75,6/15/2024
Giant Crimson Tomato,90,6/30/2024
Black Cherry Tomato,70,6/10/2024
Blue Berries Tomato,75,6/15/2024
Yellow Pear Tomato,75,6/15/2024
Jersey Devil Paste Tomato,85,6/25/2024
